,Rank,Movie,Year,IMDB_Ratings,User_Review
0,1,1. The Shawshank Redemption,1994,9.3,2800000
1,2,2. The Godfather,1972,9.2,2000000
2,3,3. The Dark Knight,2008,9.0,2800000
3,4,4. The Godfather: Part II,1974,9.0,1300000
4,5,5. 12 Angry Men,1957,9.0,1400000
5,6,6. Schindler's List,1993,9.0,1900000
6,7,7. The Lord of the Rings: The Return of the King,2003,9.0,2200000
7,8,8. Pulp Fiction,1994,8.9,2000000
8,9,9. The Lord of the Rings: The Fellowship of the Ring,2001,8.8,2200000
9,10,"10. Il Buono, Il Brutto, Il Cattivo",1966,8.8,2300000
10,11,11. Forrest Gump,1994,8.8,1700000
11,12,12. Fight Club,1999,8.8,2500000
12,13,13. The Lord of the Rings: The Two Towers,2002,8.8,1400000
13,14,14. Inception,2010,8.8,2000000
14,15,15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1200000
15,16,16. The Matrix,1999,8.7,1100000
16,17,17. GoodFellas,1990,8.7,1800000
17,18,18. One Flew Over the Cuckoo's Nest,1975,8.7,2000000
18,19,19. Se7en,1995,8.6,1500000
19,20,20. It's a Wonderful Life,1946,8.6,1500000
20,21,21. Shichinin No Samurai,1954,8.6,1400000
21,22,22. Interstellar,2014,8.7,1400000
22,23,23. The Silence of the Lambs,1991,8.6,1200000
23,24,24. Saving Private Ryan,1998,8.6,1300000
24,25,25. City of God,2002,8.6,1600000
25,26,26. Life Is Beautiful,1997,8.6,1100000
26,27,27. The Green Mile,1999,8.6,1200000
27,28,28. Spider-man: Across the Spider-verse,2023,8.7,1200000
28,29,29. Star Wars: Episode IV - A New Hope,1977,8.6,1400000
29,30,30. Terminator 2: Judgment Day,1991,8.6,1400000
30,31,31. Back to the Future,1985,8.5,1100000
31,32,32. Spirited Away,2001,8.6,1700000
32,33,33. The Pianist,2002,8.5,1300000
33,34,34. Psycho,1960,8.5,1000000
34,35,35. Parasite,2019,8.5,1200000
35,36,36. Gladiator,2000,8.5,1200000
36,37,37. The Lion King,1994,8.5,1100000
37,38,38. Léon,1994,8.5,1500000
38,39,39. American History X,1998,8.5,1800000
39,40,40. The Departed,2006,8.5,1200000
40,41,41. Whiplash,2014,8.5,1000000
41,42,42. The Prestige,2006,8.5,1100000
42,43,43. Grave of the Fireflies,1988,8.5,1200000
43,44,44. The Usual Suspects,1995,8.5,1400000
44,45,45. Seppuku,1962,8.6,1000000
45,46,46. Casablanca,1942,8.5,1100000
46,47,47. Intouchables,2011,8.5,1100000
47,48,48. Modern Times,1936,8.5,1100000
48,49,49. Cinema Paradiso,1988,8.5,1100000
49,50,50. C'era Una Volta Il West,1968,8.5,1500000
50,51,51. Rear Window,1954,8.5,1500000
51,52,52. Alien,1979,8.5,1200000
52,53,53. City Lights,1931,8.5,1400000
53,54,54. Apocalypse Now,1979,8.4,1000000
54,55,55. Django Unchained,2012,8.5,1000000
55,56,56. Memento,2000,8.4,1000000
56,57,57. Raiders of the Lost Ark,1981,8.4,1200000
57,58,58. WALL·E,2008,8.4,1100000
58,59,59. Das Leben der Anderen,2006,8.4,1200000
59,60,60. Sunset Blvd.,1950,8.4,1100000
60,61,61. Paths of Glory,1957,8.4,1000000
61,62,62. Avengers: Infinity War,2018,8.4,1100000
62,63,63. The Shining,1980,8.4,1200000
63,64,64. Spider-Man: Into the Spider-Verse,2018,8.4,844000000
64,65,65. Witness for the Prosecution,1957,8.4,797000000
65,66,66. The Great Dictator,1940,8.4,485000000
66,67,67. Oppenheimer,2023,8.4,361000000
67,68,68. Alien 2,1986,8.4,788000000
68,69,69. Inglourious Basterds,2009,8.4,730000000
69,70,70. The Dark Knight Rises,2012,8.4,311000000
70,71,71. American Beauty,1999,8.3,823000000
71,72,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,890000000
72,73,73. Oldeuboi,2003,8.4,706000000
73,74,74. Coco,2017,8.4,910000000
74,75,75. Amadeus,1984,8.4,951000000
75,76,76. Toy Story,1995,8.3,301000000
76,77,77. Das Boot,1981,8.4,66000000
77,78,78. Braveheart,1995,8.3,597000000
78,79,79. Avengers: Endgame,2019,8.4,909000000
79,80,80. Joker,2019,8.4,255000000
80,81,81. Mononoke-hime,1997,8.3,277000000
81,82,82. Good Will Hunting,1997,8.3,344000000
82,83,83. Kimi No Na Wa.,2016,8.4,513000000
83,84,84. Once Upon a Time in America,1984,8.3,931000000
84,85,85. Tengoku to Jigoku,1963,8.4,193000000
85,86,86. 3 Idiots,2009,8.4,698000000
86,87,87. Singin' in the Rain,1952,8.3,405000000
87,88,88. Capharnaüm,2018,8.4,233000000
88,89,89. Requiem for a Dream,2000,8.3,209000000
89,90,90. Idi I Smotri,1985,8.4,645000000
90,91,91. Toy Story 3,2010,8.3,134000000
91,92,92. Star Wars: Episode VI - Return of the Jedi,1983,8.3,234000000
92,93,93. Eternal Sunshine of the Spotless Mind,2004,8.3,546000000
93,94,94. 2001: A Space Odyssey,1968,8.3,750000000
94,95,95. Jagten,2012,8.3,511000000
95,96,96. Reservoir Dogs,1992,8.3,619000000
96,97,97. Ikiru,1952,8.3,568000000
97,98,98. Lawrence of Arabia,1962,8.3,421000000
98,99,99. The Apartment,1960,8.3,261000000
99,100,100. Citizen Kane,1941,8.3,422000000
100,101,101. M - Eine Stadt sucht einen Mörder,1931,8.3,306000000
101,102,102. North by Northwest,1959,8.3,371000000
102,103,103. Vertigo,1958,8.3,51000000
103,104,104. Double Indemnity,1944,8.3,423000000
104,105,105. Scarface,1983,8.3,256000000
105,106,106. Le fabuleux destin d'Amélie Poulain,2001,8.3,101000000
106,107,107. Full Metal Jacket,1987,8.3,883000000
107,108,108. Incendies,2010,8.3,92000000
108,109,109. A Clockwork Orange,1971,8.3,878000000
109,110,110. Heat,1995,8.3,706000000
110,111,111. Up,2009,8.3,355000000
111,112,112. To Kill a Mockingbird,1962,8.3,85000000
112,113,113. The Sting,1973,8.3,309000000
113,114,114. Hamilton,2020,8.3,192000000
114,115,115. Jodaeiye Nader Az Simin,2011,8.3,460000000
115,116,116. Indiana Jones and the Last Crusade,1989,8.2,166000000
116,117,117. Metropolis,1927,8.3,341000000
117,118,118. Die Hard,1988,8.2,420000000
118,119,119. Taare Zameen Par,2007,8.3,165000000
119,120,120. Snatch,2000,8.2,896000000
120,121,121. L.A. Confidential,1997,8.2,784000000
121,122,122. Ladri Di Biciclette,1948,8.3,777000000
122,123,123. 1917,2019,8.2,192000000
123,124,124. Taxi Driver,1976,8.2,867000000
124,125,125. Der Untergang,2004,8.2,702000000
125,126,126. Dangal,2016,8.3,328000000
126,127,127. Per qualche dollaro in più,1965,8.2,275000000
127,128,128. Batman Begins,2005,8.2,109000000
128,129,129. Top Gun: Maverick,2022,8.3,255000000
129,130,130. Some Like It Hot,1959,8.2,798000000
130,131,131. The Kid,1921,8.2,182000000
131,132,132. The Wolf of Wall Street,2013,8.2,922000000
132,133,133. The Father,2020,8.2,203000000
133,134,134. Green Book,2018,8.2,894000000
134,135,135. All About Eve,1950,8.2,607000000
135,136,136. Judgment at Nuremberg,1961,8.3,172000000
136,137,137. The Truman Show,1998,8.2,653000000
137,138,138. There Will Be Blood,2007,8.2,898000000
138,139,139. Casino,1995,8.2,370000000
139,140,140. Shutter Island,2010,8.2,205000000
140,141,141. Ran,1985,8.2,270000000
141,142,142. El Laberinto Del Fauno,2006,8.2,646000000
142,143,143. Jurassic Park,1993,8.2,279000000
143,144,144. The Sixth Sense,1999,8.2,133000000
144,145,145. Unforgiven,1992,8.2,183000000
145,146,146. A Beautiful Mind,2001,8.2,545000000
146,147,147. No Country for Old Men,2007,8.2,137000000
147,148,148. The Treasure of the Sierra Madre,1948,8.2,83000000
148,149,149. Yôjinbô,1961,8.2,629000000
149,150,150. Kill Bill: Vol. 1,2003,8.2,552000000
150,151,151. The Thing,1982,8.2,133000000
151,152,152. Monty Python and the Holy Grail,1975,8.2,694000000
152,153,153. The Great Escape,1963,8.2,430000000
153,154,154. Finding Nemo,2003,8.2,971000000
154,155,155. Rashōmon,1950,8.2,131000000
155,156,156. The Elephant Man,1980,8.2,129000000
156,157,157. Chinatown,1974,8.2,456000000
157,158,158. Hauru No Ugoku Shiro,2004,8.2,563000000
158,159,159. Dial M for Murder,1954,8.2,255000000
159,160,160. Gone with the Wind,1939,8.2,177000000
160,161,161. Prisoners,2013,8.1,254000000
161,162,162. V for Vendetta,2005,8.2,343000000
162,163,163. Raging Bull,1980,8.1,432000000
163,164,"164. Lock, Stock and Two Smoking Barrels",1998,8.1,186000000
164,165,165. El Secreto De Sus Ojos,2009,8.2,329000000
165,166,166. Inside Out,2015,8.1,784000000
166,167,167. Spider-Man: No Way Home,2021,8.2,373000000
167,168,"168. Three Billboards Outside Ebbing, Missouri",2017,8.1,607000000
168,169,169. Trainspotting,1996,8.1,219000000
169,170,170. The Bridge on the River Kwai,1957,8.1,765000000
170,171,171. Fargo,1996,8.1,848000000
171,172,172. Warrior,2011,8.1,543000000
172,173,173. Catch Me If You Can,2002,8.1,715000000
173,174,174. Gran Torino,2008,8.1,230000000
174,175,175. Klaus,2019,8.2,711000000
175,176,176. My Neighbour Totoro,1988,8.1,491000000
176,177,177. Million Dollar Baby,2004,8.1,804000000
177,178,178. Harry Potter and the Deathly Hallows: Part 2,2011,8.1,177000000
178,179,179. Bacheha-Ye Aseman,1997,8.2,368000000
179,180,180. Blade Runner,1982,8.1,712000000
180,181,181. 12 Years a Slave,2013,8.1,928000000
181,182,182. Before Sunrise,1995,8.1,79000000
182,183,183. The Grand Budapest Hotel,2014,8.1,808000000
183,184,184. Ben-Hur,1959,8.1,731000000
184,185,185. Barry Lyndon,1975,8.1,332000000
185,186,186. The Gold Rush,1925,8.1,868000000
186,187,187. Gone Girl,2014,8.1,250000000
187,188,188. Hacksaw Ridge,2016,8.1,179000000
188,189,189. In the Name of the Father,1993,8.1,117000000
189,190,190. On the Waterfront,1954,8.1,577000000
190,191,191. Salinui Chueok,2003,8.1,184000000
191,192,192. The General,1926,8.1,162000000
192,193,193. The Deer Hunter,1978,8.1,208000000
193,194,194. Relatos Salvajes,2014,8.1,97000000
194,195,195. Smultronstället,1957,8.1,356000000
195,196,196. Dead Poets Society,1989,8.1,212000000
196,197,197. The Third Man,1949,8.1,113000000
197,198,198. Le Salaire De La Peur,1953,8.2,530000000
198,199,199. Mad Max: Fury Road,2015,8.1,179000000
199,200,200. Sherlock Jr.,1924,8.2,65000000
200,201,"201. Monsters, Inc.",2001,8.1,55000000
201,202,202. Mr. Smith Goes to Washington,1939,8.1,960000000
202,203,203. Jaws,1975,8.1,120000000
203,204,204. How to Train Your Dragon,2010,8.1,647000000
204,205,205. Mary and Max,2009,8.1,784000000
205,206,206. Ford v. Ferrari,2019,8.1,184000000
206,207,207. Det Sjunde Inseglet,1957,8.1,447000000
207,208,208. Room,2015,8.1,195000000
208,209,209. The Big Lebowski,1998,8.1,443000000
209,210,210. Ratatouille,2007,8.1,847000000
210,211,211. Tokyo Story,1953,8.1,800000000
211,212,212. Rocky,1976,8.1,67000000
212,213,213. Hotel Rwanda,2004,8.1,617000000
213,214,214. Logan,2017,8.1,368000000
214,215,215. Spotlight,2015,8.1,813000000
215,216,216. Platoon,1986,8.1,494000000
216,217,217. La passion de Jeanne d'Arc,1928,8.1,432000000
217,218,218. The Terminator,1984,8.1,59000000
218,219,219. Jai Bhim,2021,8.7,908000000
219,220,220. Before Sunset,2004,8.1,213000000
220,221,221. Rush,2013,8.1,282000000
221,222,222. Network,1976,8.1,504000000
222,223,223. The Best Years of Our Lives,1946,8.1,167000000
223,224,224. The Exorcist,1973,8.1,69000000
224,225,225. Stand by Me,1986,8.1,446000000
225,226,226. La haine,1995,8.1,432000000
226,227,227. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,191000000
227,228,228. The Wizard of Oz,1939,8.1,421000000
228,229,229. The Incredibles,2004,8.0,789000000
229,230,230. Into the Wild,2007,8.1,648000000
230,231,231. Hachi: A Dog's Tale,2009,8.1,304000000
231,232,232. To Be or Not to Be,1942,8.2,42000000
232,233,233. Ah-ga-ssi,2016,8.1,166000000
233,234,234. My Father and My Son,2005,8.2,91000000
234,235,235. Groundhog Day,1993,8.0,670000000
235,236,236. La battaglia di Algeri,1966,8.1,64000000
236,237,237. The Grapes of Wrath,1940,8.1,98000000
237,238,238. Amores perros,2000,8.1,250000000
238,239,239. The Sound of Music,1965,8.1,253000000
239,240,240. Rebecca,1940,8.1,144000000
240,241,241. Cool Hand Luke,1967,8.1,186000000
241,242,242. The Iron Giant,1999,8.1,220000000
242,243,243. The Help,2011,8.1,484000000
243,244,244. It Happened One Night,1934,8.1,110000000
244,245,245. Pather Panchali,1955,8.2,37000000
245,246,246. The 400 Blows,1959,8.1,126000000
246,247,247. Aladdin,1992,8.0,455000000
247,248,248. Dances with Wolves,1990,8.0,285000000
248,249,249. Persona,1966,8.1,128000000
249,250,250. Life of Brian,1979,8.0,418000000
